Country,Year,Homicide Rate,Total Emissions,Coal,Oil,Gas,Cement,Flaring,Emissions Per Capita,GDP per capita,Population,Homicide per capita,Homicide per emissions
Afghanistan,2010,1.75,8.364803,2.246032,5.833088,0.271136,0.014547,0.0,0.296733,554.5952002,28189672.0,0.006207947364552522,0.20920994792106878
Afghanistan,2011,1.77,11.838316,4.180624,7.335328,0.307776,0.014588,0.0,0.40474,621.9123109,29249157.0,0.006051456457360464,0.1495145086513994
Afghanistan,2012,1.79,10.035314,3.125392,6.573216,0.307776,0.02893,0.0,0.329389,663.1410528,30466479.0,0.005875309713341013,0.17837010381538634
Afghanistan,2013,1.85,9.25051,3.326912,5.591264,0.296784,0.03555,0.0,0.293283,651.9878619,31541209.0,0.005865342701353015,0.19998897358091608
Afghanistan,2014,1.82,9.170309,3.705783,5.164638,0.271244,0.028644,0.0,0.280299,628.1468039,32716210.0,0.005562991556784848,0.19846659474615305
Afghanistan,2015,2.03,9.791093,2.843264,6.624512,0.282128,0.041189,0.0,0.290076,592.4765375,33753499.0,0.006014191299100575,0.20733129590332763
Afghanistan,2016,1.99,9.067598,2.878736,5.794097,0.318639,0.076126,0.0,0.261795,520.252064,34636207.0,0.005745432806773559,0.21946275077479174
Afghanistan,2017,2.1,9.867969,3.447824,6.074912,0.300448,0.044785,0.0,0.276852,530.1498308,35643418.0,0.005891690858603965,0.2128097483889542
Afghanistan,2018,2.16,10.818048,3.8472,6.620848,0.29312,0.05688,0.0,0.294876,502.0567706,36686784.0,0.005887678789179232,0.19966633536845096
Afghanistan,2019,1.99,11.081621,3.954767,6.842956,0.245569,0.038329,0.0,0.293401,500.5226641,37769499.0,0.005268801685720003,0.17957661609253736
Albania,1990,1.01,5.520602,2.498848,2.172752,0.465328,0.383674,0.0,1.675415,617.2304355,3286542.0,0.03073138879710042,0.18295106222111285
Albania,1991,1.16,4.290226,1.480256,2.227712,0.2748,0.307458,0.0,1.299249,336.5869945,3266790.0,0.035508863440870085,0.27038202649464155
Albania,1992,1.33,2.517116,0.799927,1.416384,0.198147,0.102659,0.0,0.761899,200.8522198,3247039.0,0.040960394993715815,0.5283824821740436
Albania,1993,1.53,2.337999,0.599947,1.477918,0.157303,0.102831,0.0,0.708332,367.2792251,3227287.0,0.047408241039610055,0.6544057546645657
Albania,1994,1.77,1.923806,0.168544,1.604832,0.098928,0.051502,0.0,0.584034,586.4163396,3207536.0,0.05518254510627472,0.9200511901927741
Albania,1995,2.0,2.089065,0.161216,1.773376,0.051296,0.103177,0.0,0.636064,750.6044492,3187784.0,0.0627395080720651,0.9573660944010837
Albania,1996,2.21,2.017508,0.113584,1.755056,0.043968,0.1049,0.0,0.616724,1009.977275,3168033.0,0.06975937434995153,1.0954107740836716
Albania,1997,2.35,1.543009,0.043968,1.41064,0.03664,0.051761,0.0,0.474229,717.3800477,3148281.0,0.07464390885057592,1.522998245635638
Albania,1998,2.79,1.754709,0.054845,1.623405,0.032907,0.043552,0.0,0.542888,813.7893966,3128530.0,0.08917926310439726,1.5900072319683776
Albania,1999,2.37,2.986196,0.110056,2.791742,0.029348,0.05505,0.0,0.930784,1033.242532,3108778.0,0.07623574279025393,0.7936518567434958
Albania,2000,1.85,3.024926,0.069531,2.839801,0.021957,0.093637,0.0,0.95063,1126.68334,3089027.0,0.05988940854191303,0.6115852090266011
Albania,2001,1.54,3.220656,0.080608,3.125392,0.014656,0.0,0.0,1.021259,1281.659826,3060173.0,0.05032395227328651,0.4781634548986294
Albania,2002,1.21,3.748272,0.084272,3.638352,0.025648,0.0,0.0,1.200003,1425.124219,3051010.0,0.039658998167819835,0.32281542001220825
Albania,2003,0.92,4.303499,0.084272,3.891168,0.025648,0.302411,0.0,1.391371,1846.120121,3039616.0,0.03026698109234851,0.21377953149286197
Albania,2004,0.71,4.176684,0.084272,3.759264,0.032976,0.300172,0.0,1.363761,2373.581292,3026939.0,0.023456039252855772,0.16999131368329518
Albania,2005,0.52,4.261413,0.073216,3.90974,0.021965,0.256492,0.0,1.405185,2673.786584,3011487.0,0.017267217158832164,0.12202525312613445
Albania,2006,0.45,3.910715,0.07321,3.539714,0.021963,0.275828,0.0,1.302102,2972.742924,2992547.0,0.015037357809250782,0.11506847213361239
Albania,2007,0.45,3.94897,0.07321,3.374978,0.032944,0.467837,0.0,1.326901,3595.038057,2970017.0,0.015151428426167258,0.11395376515901615
Albania,2008,0.41,4.397043,0.102592,3.795904,0.014656,0.483891,0.0,1.48967,4370.539925,2947314.0,0.013910971141860013,0.09324448271258662
Albania,2009,0.36,4.406552,0.388384,3.414848,0.01832,0.585,0.0,1.503665,4114.134899,2927519.0,0.01229710208541772,0.08169652826064461
Albania,2010,0.37,4.783865,0.428688,3.491792,0.025648,0.837737,0.0,1.642022,4094.348386,2913021.0,0.01270159054809423,0.07734331967979866
Albania,2011,0.36,5.314676,0.534944,3.77392,0.029312,0.9765,0.0,1.832234,4437.142612,2905195.0,0.012391595056441993,0.06773696082319976
Albania,2012,0.34,4.85006,0.626544,3.154704,0.029312,1.0395,0.0,1.676949,4247.630047,2900401.0,0.011722516989892089,0.07010222553947787
Albania,2013,0.33,5.287466,0.795088,3.330576,0.032976,1.1286,0.000226,1.831465,4413.062005,2895092.0,0.011398601495220187,0.062411748841505556
Albania,2014,0.31,5.999658,1.028913,3.855679,0.058586,1.0449,0.011581,2.080252,4578.633208,2889104.0,0.010729970260675974,0.05166961183454123
Albania,2015,0.3,4.712137,0.322432,3.337904,0.062288,0.954113,0.0354,1.634751,3952.802538,2880703.0,0.010414124607778031,0.06366538154557051
Albania,2016,0.29,4.631977,0.190528,3.359888,0.161216,0.88047,0.039875,1.607732,4124.05539,2876101.0,0.01008309513469798,0.06260825561094106
Albania,2017,0.28,5.564149,0.274609,4.078863,0.168427,1.011492,0.030757,1.932429,4531.019374,2873457.0,0.009744360190530084,0.05032216067542405
Albania,2018,0.26,4.984045,0.472656,3.330576,0.150224,1.016733,0.013856,1.732368,5287.663694,2866376.0,0.009070687167349992,0.05216646318402021
Albania,2019,0.25,4.947485,0.322432,3.440496,0.131904,1.048179,0.004474,1.721533,5396.215864,2854191.0,0.008759049411899904,0.05053072419623303
Algeria,1990,0.32,76.737628,2.942192,23.204112,38.908016,2.988636,8.694672,3.007187,2431.553531,25518074.0,0.0012540131359443508,0.004170053314652884
Algeria,1991,0.32,78.806834,2.689376,26.065696,38.428032,2.969362,8.654368,3.015502,1749.28372,26133905.0,0.0012244630107900063,0.004060561549776255
Algeria,1992,0.32,79.883305,2.377936,28.678128,31.93176,2.997929,13.897552,2.986481,1794.621453,26748303.0,0.0011963375770044178,0.004005843273510028
Algeria,1993,0.33,81.94397,1.9236,27.99296,36.097728,2.988434,12.941248,2.995649,1825.875644,27354327.0,0.0012063904917127006,0.0040271419605371825
Algeria,1994,0.35,86.147476,2.286238,30.450203,37.385859,2.820683,13.204492,3.083633,1522.825246,27937006.0,0.001252818573328867,0.004062800400559617
Algeria,1995,0.38,94.981417,1.934592,27.080624,47.221632,3.165241,15.579328,3.335253,1466.545511,28478022.0,0.0013343623373842468,0.004000782595189121
Algeria,1996,0.36,96.786277,1.406976,27.40672,50.566864,3.006197,14.39952,3.339227,1619.533389,28984634.0,0.0012420374188613181,0.0037195355701097996
Algeria,1997,0.52,87.004706,1.381328,30.019152,39.006944,3.271314,13.325968,2.95171,1634.46741,29476031.0,0.001764145247370652,0.0059766882035093595
Algeria,1998,0.47,106.62101,2.110464,33.089584,54.641232,3.446434,13.333296,3.562981,1610.301826,29924668.0,0.0015706105745266748,0.004408136820313369
Algeria,1999,0.39,91.668212,2.172665,22.188293,50.920227,3.435307,12.95172,3.020759,1602.864313,30346083.0,0.0012851741030300353,0.0042544737318537425
Algeria,2000,0.39,82.22101,1.96024,26.827808,38.534288,3.789426,11.109248,2.671715,1780.375874,30774621.0,0.0012672779950726283,0.004743313175063162
Algeria,2001,0.4,83.780203,2.095808,28.458288,41.029472,3.765771,8.430864,2.685178,1754.582838,31200985.0,0.0012820108083126222,0.004774397598439813
Algeria,2002,0.4,89.406933,2.608768,29.4952,44.653168,4.057717,8.59208,2.827124,1794.811114,31624696.0,0.0012648342927944667,0.0044739259761879995
Algeria,2003,0.39,91.048404,2.788304,31.942752,44.026624,4.032068,8.258656,2.840302,2117.047545,32055883.0,0.0012166253539170953,0.004283435874394899
Algeria,2004,0.37,87.853359,1.9236,32.818448,41.209008,4.896735,7.005568,2.702333,2624.795232,32510186.0,0.0011381048388957233,0.004211563498670552
Algeria,2005,0.36,106.472836,2.36328,31.0524,61.210784,5.66154,6.184832,3.23069,3131.328532,32956690.0,0.001092342707960053,0.003381144088244254
Algeria,2006,0.35,100.202857,2.700368,35.233024,49.306448,6.540025,6.422992,2.996938,3500.135413,33435080.0,0.0010468047332322817,0.0034929143786788432
Algeria,2007,0.33,108.401946,3.011808,38.321776,51.07616,7.000746,8.991456,3.18981,3971.803488,33983827.0,0.0009710501409979519,0.00304422579277313
Algeria,2008,0.33,109.031978,3.008246,37.363073,51.550561,7.583376,9.526722,3.153985,4946.564017,34569592.0,0.0009545961664806458,0.003026634993267755
Algeria,2009,0.32,120.184849,1.59384,44.891328,54.894048,8.220337,10.585296,3.414727,3898.4797,35196037.0,0.0009091932708219394,0.0026625652289998716
Algeria,2010,0.32,117.81301,1.216486,45.365407,53.367834,8.25231,9.610973,3.285695,4495.920448,35856344.0,0.0008924501616785023,0.002716168613296613
Algeria,2011,0.31,119.807538,1.047872,46.919737,56.720635,8.18722,6.932074,3.278487,5473.28055,36543541.0,0.0008483031242101033,0.002587483268373314
Algeria,2012,0.3,135.674294,1.036882,48.539276,64.114493,7.696658,14.286985,3.64123,5610.730894,37260563.0,0.0008051408133580805,0.0022111778963817565
Algeria,2013,0.3,140.786376,0.725472,51.91888,65.450032,7.29842,15.393572,3.704844,5519.777576,38000626.0,0.0007894606788846057,0.002130888005811017
Algeria,2014,0.28,151.282783,0.545922,52.88481,73.831357,7.667871,16.352823,3.903048,5516.230604,38760168.0,0.0007223910897393428,0.0018508385055290796
Algeria,2015,0.27,160.08745,0.501968,55.590208,78.768672,8.062014,17.164588,4.048424,4197.421361,39543154.0,0.0006827983422870113,0.0016865781796137052
Algeria,2016,0.26,158.748363,0.0,54.626576,78.677072,9.371843,16.072872,3.935325,3967.199451,40339329.0,0.0006445322875846547,0.0016378121644000825
Algeria,2017,0.25,166.411374,0.795088,55.30808,82.352064,11.406257,16.549884,4.045341,4134.93672,41136546.0,0.0006077321124627235,0.00150230115881382
Algeria,2018,0.24,173.911594,1.330002,54.922121,88.886635,12.381661,16.391175,4.147961,4171.795011,41927007.0,0.0005724234024145821,0.0013800115017058609
Algeria,2019,0.23,179.504831,1.095512,59.157648,91.24992,11.028039,16.973712,4.203332,4022.150184,42705368.0,0.0005385739797395025,0.0012813025628262897
Andorra,1990,0.21,0.406704,0.0,0.406704,0.0,0.0,0.0,7.592152,19209.77584,53569.0,0.39201777147230676,0.5163460403635076
Andorra,1991,0.22,0.406704,0.0,0.406704,0.0,0.0,0.0,7.336725,19968.40536,55434.0,0.3968683479453043,0.5409339470474842
Andorra,1992,0.21,0.406704,0.0,0.406704,0.0,0.0,0.0,7.099907,21123.43369,57283.0,0.3666009112651223,0.5163460403635076
Andorra,1993,0.2,0.410368,0.0,0.410368,0.0,0.0,0.0,6.937048,17023.22258,59156.0,0.338089120292109,0.4873674360573924
Andorra,1994,0.19,0.406704,0.0,0.406704,0.0,0.0,0.0,6.663237,16671.02125,61037.0,0.31128659665448827,0.4671702269955545
Andorra,1995,0.17,0.425024,0.0,0.425024,0.0,0.0,0.0,6.754132,18731.5502,62928.0,0.27015001271294176,0.3999774130402048
Andorra,1996,0.16,0.454336,0.0,0.454336,0.0,0.0,0.0,7.082732,19080.32108,64147.0,0.24942709713626515,0.3521622763769545
Andorra,1997,0.16,0.465328,0.0,0.465328,0.0,0.0,0.0,7.194088,18252.33098,64682.0,0.247364027086361,0.3438434824467902
Andorra,1998,0.15,0.490976,0.0,0.490976,0.0,0.0,0.0,7.531924,18591.91234,65186.0,0.2301107599791366,0.3055139151404549
Andorra,1999,0.14,0.51296,0.0,0.51296,0.0,0.0,0.0,7.812962,18884.72021,65655.0,0.2132358540857513,0.27292576419213976
Andorra,2000,0.13,0.523952,0.0,0.523952,0.0,0.0,0.0,7.927016,21620.48502,66097.0,0.1966806360349184,0.2481143310837634
Andorra,2001,0.12,0.523952,0.0,0.523952,0.0,0.0,0.0,7.725627,22809.29187,67820.0,0.17693895606015925,0.2290286133080893
Andorra,2002,0.11,0.53128,0.0,0.53128,0.0,0.0,0.0,7.498765,24783.8365,70849.0,0.15525977783737244,0.207047131456106
Andorra,2003,0.12,0.534944,0.0,0.534944,0.0,0.0,0.0,7.238069,31955.38802,73907.0,0.16236621700244902,0.22432254591134773
Andorra,2004,0.12,0.560592,0.0,0.560592,0.0,0.0,0.0,7.286756,37629.12896,76933.0,0.15597987859566115,0.21405942289579588
Andorra,2005,0.12,0.575248,0.0,0.575248,0.0,0.0,0.0,7.206274,39584.91575,79826.0,0.15032696114048053,0.20860567963730425
Andorra,2006,0.12,0.545936,0.0,0.545936,0.0,0.0,0.0,6.8054,43086.49983,80221.0,0.14958676655738523,0.2198059845842736
Andorra,2007,0.11,0.538608,0.0,0.538608,0.0,0.0,0.0,6.89039,50565.45648,78168.0,0.1407225463105107,0.204230163681193
Andorra,2008,0.11,0.538608,0.0,0.538608,0.0,0.0,0.0,7.081822,53719.42127,76055.0,0.1446321740845441,0.204230163681193
Andorra,2009,0.1,0.516624,0.0,0.516624,0.0,0.0,0.0,6.995396,49753.6906,73852.0,0.13540594702919354,0.193564371767475
Andorra,2010,0.1,0.516624,0.0,0.516624,0.0,0.0,0.0,7.223591,48238.4661,71519.0,0.13982298410212674,0.193564371767475
Andorra,2011,0.09,0.490976,0.0,0.490976,0.0,0.0,0.0,6.957586,51429.19192,70567.0,0.12753836779231084,0.18330834908427293
Andorra,2012,0.09,0.487312,0.0,0.487312,0.0,0.0,0.0,6.862293,44904.58004,71013.0,0.12673735794854463,0.18468660734806447
Andorra,2013,0.08,0.47632,0.0,0.47632,0.0,0.0,0.0,6.674233,44750.43568,71367.0,0.11209662729272632,0.16795431642593214
Andorra,2014,0.08,0.461664,0.0,0.461664,0.0,0.0,0.0,6.445931,45682.24623,71621.0,0.11169908267128356,0.17328619948707286
Andorra,2015,0.08,0.465328,0.0,0.465328,0.0,0.0,0.0,6.485769,38885.37601,71746.0,0.11150447411702395,0.1719217412233951
Andorra,2016,0.08,0.468992,0.0,0.468992,0.0,0.0,0.0,6.465288,39932.16449,72540.0,0.11028398125172319,0.17057860262008734
Andorra,2017,0.08,0.465328,0.0,0.465328,0.0,0.0,0.0,6.302098,40632.48439,73837.0,0.10834676381759824,0.1719217412233951
Andorra,2018,0.08,0.49464,0.0,0.49464,0.0,0.0,0.0,6.594057,42903.44358,75013.0,0.10664818098196313,0.16173378618793466
Andorra,2019,0.08,0.479984,0.0,0.479984,0.0,0.0,0.0,6.287204,41327.50203,76343.0,0.10479022307218737,0.16667222240741358
Angola,1990,0.27,5.089864,0.0,2.475087,1.010539,0.106737,1.497501,0.4303,949.2863813,11828638.0,0.002282595849158627,0.053046603995705974
Angola,1991,0.27,5.064054,0.0,2.281026,1.083762,0.106575,1.592691,0.414113,867.1234347,12228691.0,0.002207922336086504,0.053316966999167076
Angola,1992,0.27,5.164449,0.0,2.29,1.066224,0.122785,1.68544,0.408822,657.6533837,12632507.0,0.002137342967631049,0.052280504657902516
Angola,1993,0.26,5.748389,0.0,2.96784,1.047904,0.102165,1.63048,0.440886,442.445234,13038270.0,0.001994129589278332,0.045230063588250546
Angola,1994,0.28,3.864521,0.0,1.297056,0.97096,0.097929,1.498576,0.287068,329.6917841,13462031.0,0.002079923898555872,0.07245399882676276
Angola,1995,0.28,10.948907,0.0,8.416208,1.047904,0.081483,1.403312,0.786997,398.1202225,13912253.0,0.0020126143479420626,0.025573328917671875
Angola,1996,0.27,10.423993,0.0,7.038544,1.047904,0.109833,2.227712,0.724726,523.2749398,14383350.0,0.0018771704783656104,0.025901782551081914
Angola,1997,0.26,7.347664,0.0,3.330576,1.066224,0.122256,2.828608,0.494089,514.3098866,14871146.0,0.0017483521444816694,0.035385395957136856
Angola,1998,0.26,7.26842,0.0,2.762656,1.084544,0.14194,3.27928,0.472993,423.3934528,15366864.0,0.0016919522421751114,0.03577118548460326
Angola,1999,0.28,9.130235,0.0,3.707968,1.047904,0.083819,4.290544,0.575287,387.6894148,15870753.0,0.0017642515134600105,0.03066733769722247
Angola,2000,0.28,9.516064,0.0,3.667664,1.084544,0.081264,4.682592,0.580458,556.8842437,16394062.0,0.001707935470782043,0.029423929893703953
Angola,2001,0.29,9.670938,0.0,4.301536,0.98928,0.221482,4.15864,0.57084,527.4632018,16941587.0,0.0017117640749948631,0.029986749992606716
Angola,2002,0.3,12.598124,0.0,5.01968,1.157824,0.239452,6.181168,0.719229,872.6577717,17516139.0,0.0017127062076865227,0.02381306931095455
Angola,2003,0.31,8.98897,0.0,6.837024,1.216448,0.279642,0.655856,0.495961,982.8056006,18124342.0,0.0017104069212554036,0.03448670982326117
Angola,2004,0.32,18.700613,0.0,5.034336,1.439952,0.300005,11.92632,0.996244,1254.695563,18771125.0,0.001704745986188894,0.01711173852964071
Angola,2005,0.33,19.005991,0.0,4.733888,1.249424,0.521111,12.501568,0.977124,1900.724725,19450959.0,0.0016965744465350014,0.017362946241529842
Angola,2006,0.34,22.10165,0.0,7.756688,1.304384,0.53901,12.501568,1.096185,2597.962682,20162340.0,0.0016863122038414194,0.015383466845235538
Angola,2007,0.36,24.977271,0.0,8.800928,1.59384,0.542055,14.040448,1.194531,3121.350475,20909684.0,0.0017216902943153038,0.014413103817466688
Angola,2008,0.38,25.486267,0.0,10.218896,1.271408,0.684651,13.311312,1.174941,4081.715004,21691522.0,0.0017518365009149659,0.014909990545104152
Angola,2009,0.4,27.564973,0.0,12.296384,1.289728,0.693197,13.285664,1.224692,3123.697586,22507674.0,0.0017771716437691432,0.014511169664486885
Angola,2010,0.42,28.864503,0.0,13.369936,1.370336,0.578423,13.545808,1.235417,3496.784796,23364185.0,0.001797623156981508,0.014550744213402878
Angola,2011,0.44,30.329742,0.0,14.34456,1.403312,0.764926,13.816944,1.250241,4511.153227,24259111.0,0.001813751542667825,0.014507212095638664
Angola,2012,0.45,25.539987,0.0,17.268432,1.421632,1.147056,5.702867,1.013963,4962.552072,25188292.0,0.00178654431987687,0.017619429485222528
Angola,2013,0.47,24.718593,0.0,17.44064,0.765776,1.556967,4.95521,0.94537,5101.983876,26147002.0,0.001797529215777778,0.01901402721425123
Angola,2014,0.48,25.147586,0.0,17.479035,0.578849,1.976214,5.113487,0.926986,5059.080441,27128337.0,0.0017693675804749845,0.01908731915659817
Angola,2015,0.49,25.530951,0.0,17.297744,1.439952,2.030463,4.762792,0.907679,3100.830685,28127721.0,0.0017420536843351082,0.019192391227416478
Angola,2016,0.49,27.209697,0.0,15.916416,1.494912,1.499598,8.298771,0.933285,1709.515534,29154746.0,0.0016806869111464732,0.01800828579605278
Angola,2017,0.5,24.30409,0.0,14.591862,1.571657,0.995857,7.144714,0.804541,2283.214233,30208628.0,0.0016551562685998185,0.020572669044592908
Angola,2018,0.51,22.779499,0.0,14.873711,1.608266,1.046231,5.251291,0.728395,2487.500996,31273533.0,0.0016307719374079035,0.022388552092387985
Angola,2019,0.53,21.818019,0.0,13.893888,2.429232,1.12373,4.371169,0.674362,2142.238757,32353588.0,0.0016381490671142874,0.024291847944581956
Antigua and Barbuda,1990,0.53,0.21984,0.0,0.21984,0.0,0.0,0.0,3.47145,7255.406303,63328.0,0.8369125821121778,2.410844250363901
Antigua and Barbuda,1991,0.56,0.212512,0.0,0.212512,0.0,0.0,0.0,3.339598,7569.969001,63634.0,0.8800326869283718,2.6351453094413495
Antigua and Barbuda,1992,0.56,0.208848,0.0,0.208848,0.0,0.0,0.0,3.229991,7721.763119,64659.0,0.866082061275306,2.681375928905233
Antigua and Barbuda,1993,0.58,0.216176,0.0,0.216176,0.0,0.0,0.0,3.283653,8129.144121,65834.0,0.881003736671021,2.6829990378210344
Antigua and Barbuda,1994,0.61,0.216176,0.0,0.216176,0.0,0.0,0.0,3.223044,8788.013323,67072.0,0.9094704198473282,2.8217748501221225
Antigua and Barbuda,1995,0.74,0.223504,0.0,0.223504,0.0,0.0,0.0,3.267698,8440.034526,68398.0,1.0819029796192872,3.3109027131505475
Antigua and Barbuda,1996,0.69,0.23816,0.0,0.23816,0.0,0.0,0.0,3.412132,9079.481212,69798.0,0.988567007650649,2.897211958347329
Antigua and Barbuda,1997,0.68,0.25648,0.0,0.25648,0.0,0.0,0.0,3.601337,9556.832802,71218.0,0.9548147940127497,2.651278852152215
Antigua and Barbuda,1998,0.75,0.271136,0.0,0.271136,0.0,0.0,0.0,3.736097,10029.47775,72572.0,1.0334564294769333,2.7661395019473622
Antigua and Barbuda,1999,0.73,0.282128,0.0,0.282128,0.0,0.0,0.0,3.821785,10379.1604,73821.0,0.9888785034068897,2.587478024159247
Antigua and Barbuda,2000,0.74,0.29312,0.0,0.29312,0.0,0.0,0.0,3.905403,11010.19746,75055.0,0.9859436413296916,2.5245633187772927
Antigua and Barbuda,2001,1.03,0.296784,0.0,0.296784,0.0,0.0,0.0,3.894037,10502.93881,76215.0,1.3514400052483106,3.470537495282765
Antigua and Barbuda,2002,0.84,0.32976,0.0,0.32976,0.0,0.0,0.0,4.271779,10549.66619,77195.0,1.0881533778094437,2.547307132459971
Antigua and Barbuda,2003,0.83,0.351744,0.0,0.351744,0.0,0.0,0.0,4.505207,10968.89268,78075.0,1.0630803714377202,2.359670669577875
Antigua and Barbuda,2004,0.9,0.3664,0.0,0.3664,0.0,0.0,0.0,4.641441,11650.84848,78941.0,1.140091967418705,2.4563318777292578
Antigua and Barbuda,2005,1.0,0.373728,0.0,0.373728,0.0,0.0,0.0,4.679262,12808.01015,79869.0,1.252050232255318,2.6757427861974485
Antigua and Barbuda,2006,0.93,0.38472,0.0,0.38472,0.0,0.0,0.0,4.755795,14310.68623,80895.0,1.1496384201743002,2.417342482844666
Antigua and Barbuda,2007,1.01,0.406704,0.0,0.406704,0.0,0.0,0.0,4.958837,16006.13611,82016.0,1.231467030823254,2.4833785750816317
Antigua and Barbuda,2008,0.79,0.417696,0.0,0.417696,0.0,0.0,0.0,5.017309,16457.10406,83251.0,0.9489375502996961,1.8913276641385122
Antigua and Barbuda,2009,1.25,0.443344,0.0,0.443344,0.0,0.0,0.0,5.244564,14530.59869,84534.0,1.478694962973478,2.8194810350427657
Antigua and Barbuda,2010,0.98,0.454336,0.0,0.454336,0.0,0.0,0.0,5.30178,13404.51602,85695.0,1.1435906412276096,2.156993942808846
Antigua and Barbuda,2011,0.95,0.443344,0.0,0.443344,0.0,0.0,0.0,5.111831,13117.14694,86729.0,1.0953660252049486,2.1428055866325018
Antigua and Barbuda,2012,0.88,0.458,0.0,0.458,0.0,0.0,0.0,5.223898,13686.47659,87674.0,1.0037183201405204,1.9213973799126638
Antigua and Barbuda,2013,0.88,0.461664,0.0,0.461664,0.0,0.0,0.0,5.216719,13350.14914,88497.0,0.9943839904177544,1.9061481943578014
Antigua and Barbuda,2014,0.76,0.461664,0.0,0.461664,0.0,0.0,0.0,5.173517,14004.81121,89236.0,0.8516742122013536,1.646218895127192
Antigua and Barbuda,2015,0.75,0.479984,0.0,0.479984,0.0,0.0,0.0,5.336654,14861.88271,89941.0,0.8338799879921281,1.5625520850695023
Antigua and Barbuda,2016,0.74,0.490976,0.0,0.490976,0.0,0.0,0.0,5.421315,15862.65166,90564.0,0.8171017181219911,1.5072019813595776
Antigua and Barbuda,2017,0.76,0.490976,0.0,0.490976,0.0,0.0,0.0,5.388294,16110.55628,91119.0,0.8340741228503386,1.5479371700449716
Antigua and Barbuda,2018,0.75,0.498304,0.0,0.498304,0.0,0.0,0.0,5.438456,17527.16963,91626.0,0.8185449544889005,1.5051053172360647
Antigua and Barbuda,2019,0.74,0.498304,0.0,0.498304,0.0,0.0,0.0,5.409468,18319.45605,92117.0,0.8033262047179132,1.4850372463395838
Argentina,1990,0.8,112.079088,3.070432,59.188256,43.213216,1.822,4.785184,3.434042,4330.959441,32637657.0,0.0024511563437289636,0.007137816824490935
Argentina,1991,0.79,117.505744,2.689376,61.232768,47.28392,2.196,4.10368,3.549404,5730.72381,33105763.0,0.002386291474387707,0.006723075597053366
